Threads,Connections,Duration,Page,Total Requests,Total Time,Data Read,Requests/Sec,Transfer/Sec,Thread Latency Avg,Thread Latency StDev,Thread Latency Max,Thread Latency +/- StDev,Thread Req/Sec Avg,Thread Req/Sec StDev,Thread Req/Sec Max,Thread Req/Sec +/- StDev,Connect Errors,Read Errors,Write Errors,Timeout Errors
1,40,10,,119449,10.00s,30.78MB,11944.58,3.08MB,6.09ms,97.35%,203.04ms,97.35%,12.01k,88.00%,13.72k,88.00%,,,,
1,41,10,,118887,10.00s,30.63MB,11887.74,3.06MB,4.28ms,99.16%,518.74ms,99.16%,11.95k,83.00%,12.77k,83.00%,,,,
1,42,10,,118417,10.00s,30.51MB,11841.12,3.05MB,4.77ms,98.40%,203.70ms,98.40%,11.90k,80.00%,14.45k,80.00%,,,,
1,43,10,,118865,10.10s,30.63MB,11768.5,3.03MB,3.73ms,75.47%,146.69ms,75.47%,11.83k,69.31%,12.52k,69.31%,,,,
1,44,10,,116158,10.00s,29.93MB,11615.02,2.99MB,4.05ms,95.59%,201.40ms,95.59%,11.68k,93.00%,12.89k,93.00%,,,,
1,45,10,,116754,10.00s,30.08MB,11674.76,3.01MB,4.04ms,97.49%,297.06ms,97.49%,11.74k,72.00%,12.48k,72.00%,,,,
1,46,10,,100127,10.10s,25.80MB,9913.36,2.55MB,5.39ms,97.29%,362.06ms,97.29%,9.96k,89.11%,11.85k,89.11%,,,,
1,47,10,,113060,10.00s,29.13MB,11305.19,2.91MB,4.21ms,71.91%,32.02ms,71.91%,11.36k,68.00%,12.05k,68.00%,,,,
1,48,10,,112449,10.10s,28.97MB,11133.63,2.87MB,5.61ms,99.24%,943.30ms,99.24%,11.20k,90.10%,12.86k,90.10%,,,,
1,49,10,,115899,10.00s,29.86MB,11589.16,2.99MB,4.38ms,79.93%,166.05ms,79.93%,11.65k,76.00%,12.17k,76.00%,,,,
1,50,10,,113879,10.00s,29.34MB,11386.83,2.93MB,4.48ms,76.60%,151.30ms,76.60%,11.44k,65.00%,12.05k,65.00%,,,,
2,2,10,,53658,10.10s,13.83MB,5312.9,1.37MB,2.55ms,97.84%,205.04ms,97.84%,2.69k,89.00%,3.29k,89.00%,,,,
2,3,10,,54994,10.10s,14.17MB,5445.31,1.40MB,367.65us,99.49%,18.59ms,99.49%,2.74k,74.75%,3.08k,74.75%,,,,
2,4,10,,81343,10.10s,20.96MB,8054.28,2.08MB,486.15us,88.16%,10.00ms,88.16%,4.07k,79.60%,5.35k,79.60%,,,,
2,5,10,,80331,10.10s,20.70MB,7954.06,2.05MB,493.78us,84.25%,4.77ms,84.25%,4.00k,70.79%,4.80k,70.79%,,,,
2,6,10,,104186,10.10s,26.85MB,10316.1,2.66MB,570.62us,87.72%,6.25ms,87.72%,5.21k,77.11%,7.17k,77.11%,,,,
2,7,10,,105206,10.10s,27.11MB,10416.5,2.68MB,586.68us,99.35%,32.37ms,99.35%,5.23k,74.75%,5.86k,74.75%,,,,
2,8,10,,119741,10.10s,30.85MB,11856.36,3.06MB,678.32us,93.61%,14.40ms,93.61%,5.99k,70.15%,7.21k,70.15%,,,,
2,9,10,,110055,10.10s,28.36MB,10896.53,2.81MB,2.46ms,98.44%,202.62ms,98.44%,5.51k,81.00%,6.84k,81.00%,,,,
2,10,10,,131293,10.10s,33.83MB,12999.92,3.35MB,0.86ms,95.11%,27.30ms,95.11%,6.53k,68.81%,7.71k,68.81%,,,,
2,11,10,,132175,10.00s,34.06MB,13216.93,3.41MB,820.84us,94.57%,25.51ms,94.57%,6.64k,71.00%,8.10k,71.00%,,,,
2,12,10,,143271,10.10s,36.92MB,14185.19,3.66MB,1.02ms,97.06%,52.66ms,97.06%,7.16k,82.59%,8.89k,82.59%,,,,
2,13,10,,144811,10.10s,37.31MB,14338.65,3.69MB,0.94ms,94.68%,30.29ms,94.68%,7.25k,66.67%,9.07k,66.67%,,,,
2,14,10,,145998,10.10s,37.62MB,14454.96,3.72MB,1.04ms,90.78%,19.28ms,90.78%,7.26k,69.80%,8.72k,69.80%,,,,
2,15,10,,127598,10.10s,32.88MB,12633.18,3.26MB,17.10ms,94.00%,879.98ms,94.00%,6.67k,86.46%,8.78k,86.46%,,,,
2,16,10,,139160,10.10s,35.86MB,13778.7,3.55MB,3.92ms,97.57%,202.40ms,97.57%,6.93k,79.70%,9.01k,79.70%,,,,
2,17,10,,136255,10.10s,35.11MB,13490.44,3.48MB,2.59ms,98.72%,203.14ms,98.72%,6.78k,76.24%,9.02k,76.24%,,,,
2,18,10,,140101,10.10s,36.10MB,13871.89,3.57MB,3.97ms,98.17%,404.10ms,98.17%,7.00k,83.08%,12.44k,83.08%,,,,
2,19,10,,136363,10.10s,35.14MB,13501.81,3.48MB,1.47ms,94.65%,58.22ms,94.65%,6.79k,69.31%,8.59k,69.31%,,,,
2,20,10,,130234,10.10s,33.56MB,12894.19,3.32MB,2.20ms,97.72%,201.66ms,97.72%,6.48k,70.30%,8.67k,70.30%,,,,
2,21,10,,115125,10.00s,29.66MB,11511.14,2.97MB,2.49ms,98.49%,245.35ms,98.49%,5.78k,70.50%,7.99k,70.50%,,,,
2,22,10,,134650,10.10s,34.70MB,13331.66,3.44MB,3.98ms,98.30%,404.53ms,98.30%,6.72k,83.08%,8.08k,83.08%,,,,
2,23,10,,132938,10.10s,34.25MB,13162.12,3.39MB,4.07ms,98.19%,404.11ms,98.19%,6.63k,90.05%,8.35k,90.05%,,,,
2,24,10,,133868,10.10s,34.49MB,13254.38,3.42MB,2.47ms,99.19%,202.65ms,99.19%,6.66k,71.78%,8.46k,71.78%,,,,
2,25,10,,138301,10.10s,35.64MB,13693.49,3.53MB,1.92ms,91.86%,60.07ms,91.86%,6.88k,69.31%,8.43k,69.31%,,,,
2,26,10,,135108,10.10s,34.81MB,13377.36,3.45MB,4.47ms,98.28%,405.37ms,98.28%,6.76k,88.06%,13.79k,88.06%,,,,
2,27,10,,123558,10.00s,31.84MB,12353.92,3.18MB,8.94ms,96.16%,411.92ms,96.16%,6.32k,89.29%,8.59k,89.29%,,,,
2,28,10,,133886,10.10s,34.50MB,13256.91,3.42MB,2.19ms,75.10%,49.19ms,75.10%,6.70k,84.58%,13.99k,84.58%,,,,
2,29,10,,133977,10.10s,34.52MB,13265.92,3.42MB,3.38ms,98.61%,202.97ms,98.61%,6.70k,87.56%,14.34k,87.56%,,,,
2,30,10,,127104,10.10s,32.75MB,12584.99,3.24MB,4.41ms,98.22%,412.35ms,98.22%,6.37k,92.00%,14.50k,92.00%,,,,
2,31,10,,129522,10.10s,33.37MB,12824.59,3.30MB,2.49ms,94.02%,77.49ms,94.02%,6.48k,83.58%,13.05k,83.58%,,,,
2,32,10,,126400,10.10s,32.57MB,12515.25,3.22MB,3.14ms,99.59%,571.97ms,99.59%,6.32k,86.07%,14.17k,86.07%,,,,
2,33,10,,122277,10.10s,31.51MB,12107.19,3.12MB,4.50ms,98.37%,412.42ms,98.37%,6.11k,79.60%,13.86k,79.60%,,,,
2,34,10,,122625,10.10s,31.60MB,12141.19,3.13MB,2.91ms,86.71%,106.04ms,86.71%,6.13k,92.54%,13.64k,92.54%,,,,
2,35,10,,122465,10.10s,31.56MB,12125.52,3.12MB,2.96ms,86.47%,70.28ms,86.47%,6.13k,87.56%,13.15k,87.56%,,,,
2,36,10,,118906,10.10s,30.64MB,11773.35,3.03MB,3.58ms,98.82%,204.65ms,98.82%,5.95k,89.05%,13.06k,89.05%,,,,
2,37,10,,116506,10.10s,30.02MB,11535.3,2.97MB,3.22ms,76.66%,83.92ms,76.66%,5.83k,89.55%,13.09k,89.55%,,,,
2,38,10,,118047,10.10s,30.42MB,11687.76,3.01MB,3.50ms,96.78%,221.72ms,96.78%,5.87k,73.27%,8.94k,73.27%,,,,
2,39,10,,120454,10.10s,31.04MB,11926.39,3.07MB,6.58ms,97.02%,415.39ms,97.02%,5.99k,86.63%,7.48k,86.63%,,,,
2,40,10,,120464,10.10s,31.04MB,11926.61,3.07MB,3.45ms,68.92%,60.96ms,68.92%,5.99k,71.29%,7.67k,71.29%,,,,
2,41,10,,122919,10.10s,31.67MB,12170.01,3.14MB,4.71ms,98.40%,214.92ms,98.40%,6.15k,90.05%,13.71k,90.05%,,,,
2,42,10,,117245,10.10s,30.21MB,11608.54,2.99MB,4.29ms,98.78%,205.95ms,98.78%,5.83k,81.68%,9.78k,81.68%,,,,
2,43,10,,115986,10.10s,29.89MB,11484.16,2.96MB,3.86ms,95.42%,200.98ms,95.42%,5.80k,85.57%,13.60k,85.57%,,,,
2,44,10,,111077,10.10s,28.62MB,10997.78,2.83MB,5.05ms,98.42%,205.35ms,98.42%,5.55k,81.59%,10.57k,81.59%,,,,
2,45,10,,104874,10.00s,27.02MB,10487.03,2.70MB,5.65ms,98.24%,233.15ms,98.24%,5.27k,68.50%,7.38k,68.50%,,,,
2,46,10,,114748,10.10s,29.57MB,11361.76,2.93MB,5.70ms,98.41%,207.58ms,98.41%,5.74k,91.04%,12.12k,91.04%,,,,
