Threads,Connections,Duration,Page,Total Requests,Total Time,Data Read,Requests/Sec,Transfer/Sec,Thread Latency Avg,Thread Latency StDev,Thread Latency Max,Thread Latency +/- StDev,Thread Req/Sec Avg,Thread Req/Sec StDev,Thread Req/Sec Max,Thread Req/Sec +/- StDev,Connect Errors,Read Errors,Write Errors,Timeout Errors
50,50,10,"",117247,10.10s,30.21MB,11608.50,2.99MB,38.43ms,86.92%,1.04s,86.92%,258.43,78.13%,1.39k,78.13%,"","","",""
50,100,10,"",105671,10.10s,27.23MB,10461.95,2.70MB,28.05ms,92.08%,633.39ms,92.08%,217.51,81.44%,1.38k,81.44%,"","","",""
50,150,10,"",106676,10.10s,27.49MB,10561.62,2.72MB,26.34ms,96.17%,955.17ms,96.17%,215.67,72.86%,600.00,72.86%,"","","",""
50,200,10,"",103891,10.10s,26.77MB,10284.68,2.65MB,53.50ms,94.15%,1.43s,94.15%,213.29,73.85%,700.00,73.85%,0,0,0,1
50,250,10,"",107007,10.10s,27.57MB,10594.59,2.73MB,52.45ms,94.87%,1.66s,94.87%,216.79,72.26%,383.00,72.26%,"","","",""
50,300,10,"",109315,10.10s,28.17MB,10823.02,2.79MB,144.03ms,89.23%,1.84s,89.23%,226.59,65.84%,414.00,65.84%,"","","",""
50,350,10,"",106277,10.10s,27.38MB,10522.63,2.71MB,162.12ms,86.71%,1.94s,86.71%,221.67,64.61%,0.90k,64.61%,0,0,0,1
50,400,10,"",106779,10.10s,27.51MB,10572.08,2.72MB,138.21ms,87.76%,1.89s,87.76%,266.01,66.30%,1.10k,66.30%,0,0,0,61
100,100,10,"",122561,10.10s,31.58MB,12134.11,3.13MB,10.53ms,90.69%,152.97ms,90.69%,122.34,87.90%,646.00,87.90%,"","","",""
100,150,10,"",118574,10.10s,30.55MB,11739.65,3.02MB,10.37ms,95.43%,1.07s,95.43%,118.48,88.77%,656.00,88.77%,"","","",""
100,200,10,"",78809,10.10s,20.30MB,7801.90,2.01MB,44.27ms,96.60%,1.95s,96.60%,79.50,82.38%,540.00,82.38%,0,0,0,6
100,250,10,"",89410,10.10s,23.04MB,8852.11,2.28MB,22.59ms,85.54%,157.78ms,85.54%,88.91,94.97%,530.00,94.97%,"","","",""
100,300,10,"",87826,10.10s,22.63MB,8696.76,2.24MB,119.66ms,90.93%,1.99s,90.93%,98.63,65.43%,430.00,65.43%,0,0,0,82
100,350,10,"",85825,10.10s,22.11MB,8497.37,2.19MB,105.56ms,91.98%,1.99s,91.98%,93.02,63.39%,242.00,63.39%,0,0,0,51
